,Skill,Skill Type
407,GDPR,Frameworks and Libraries
408,Nessus,Other tools
409,Google Cloud Firestore,Database
410,Adobe Acrobat,Other tools
411,ClickUp,Other tools
412,Materialize,Frameworks and Libraries
413,Couchbase,Database
414,Oracle Cloud Infrastructure,Cloud Service Providers
415,Okta,Other tools
416,Qt,Frameworks and Libraries
417,Azure AD,Other tools
418,QuickBooks Online,Cloud Service Providers
52,H2Oai,Frameworks and Libraries
125,Sophos,Other tools
189,Ktor,Frameworks and Libraries
192,Haskell,Programming Language
